"","c1_humans.v1","c1_humans.v2","c1_nonwh","c1_nonmale","c1_whmale","c1_disab","c1_nonwest","c1_landurban","c1_landcult","c1_natres","c1_ag","c1_restore","c1_recnoext","c1_recext","c1_animalnonext","c1_animalext","c1_logo"
"233",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"234",3,3,2,0,1,0,3,0,0,0,0,0,1,0,0,0,0
"235",4,4,3,4,1,0,0,0,0,4,0,0,0,0,0,4,0
"236",4,4,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0
"237",4,4,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0
"238",3,3,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0
"239",4,4,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0
"240",4,4,4,4,0,0,1,0,0,4,0,0,0,0,0,3,0
"241",4,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
"242",4,3,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0
"243",4,4,1,0,3,0,0,0,0,4,0,0,0,0,0,4,0
"244",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"245",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"246",4,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0
"247",4,4,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0
"248",4,4,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0
"249",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"250",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"251",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"252",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"253",4,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
"254",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"255",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"256",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"257",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"258",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"259",4,4,0,0,4,0,0,1,0,0,0,0,1,0,0,0,0
"260",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"261",3,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
"262",4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
"263",4,4,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0
"264",4,4,0,0,4,0,0,0,0,0,0,0,3,0,0,0,0
"265",4,4,0,4,4,0,0,0,0,0,0,0,2,0,0,0,0
"266",4,4,0,4,4,0,0,1,0,0,0,0,0,0,0,0,0
"267",3,3,0,0,3,0,0,3,0,0,0,0,1,0,0,0,0
"268",4,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
"269",4,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"270",4,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
"271",4,4,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0
"272",4,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"273",3,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
"274",4,4,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0
"275",4,4,0,4,4,0,0,0,0,0,0,0,4,0,0,0,0
"276",4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"277",4,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"278",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"279",4,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
"280",4,4,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"281",4,4,3,4,4,0,0,4,0,0,0,0,0,0,0,0,0
"282",3,3,0,3,0,0,0,2,0,0,0,0,3,0,0,0,0
"283",4,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
"284",4,4,4,4,4,0,0,0,0,0,0,0,3,0,2,0,0
